h3_start,hour,trip_count
892a100883bffff,18,928
892a100883bffff,19,663
892a100883bffff,20,476
892a100883bffff,21,375
892a100883bffff,22,207
892a100883bffff,23,167
892a1008877ffff,0,78
892a1008877ffff,1,40
892a1008877ffff,2,34
892a1008877ffff,3,19
892a1008877ffff,4,12
892a1008877ffff,5,94
892a1008877ffff,6,222
892a1008877ffff,7,632
892a1008877ffff,8,835
892a1008877ffff,9,610
892a1008877ffff,10,454
892a1008877ffff,11,478
892a1008877ffff,12,484
892a1008877ffff,13,506
892a1008877ffff,14,576
892a1008877ffff,15,572
892a1008877ffff,16,621
892a1008877ffff,17,661
892a1008877ffff,18,602
892a1008877ffff,19,463
892a1008877ffff,20,319
892a1008877ffff,21,199
892a1008877ffff,22,113
892a1008877ffff,23,112
892a1008883ffff,0,239
892a1008883ffff,1,164
892a1008883ffff,2,91
892a1008883ffff,3,51
892a1008883ffff,4,72
892a1008883ffff,5,74
892a1008883ffff,6,321
892a1008883ffff,7,483
892a1008883ffff,8,604
892a1008883ffff,9,512
892a1008883ffff,10,555
892a1008883ffff,11,620
892a1008883ffff,12,809
892a1008883ffff,13,857
892a1008883ffff,14,917
892a1008883ffff,15,995
892a1008883ffff,16,1052
892a1008883ffff,17,1370
892a1008883ffff,18,1204
892a1008883ffff,19,979
892a1008883ffff,20,818
892a1008883ffff,21,620
892a1008883ffff,22,522
892a1008883ffff,23,346
892a100888fffff,0,226
892a100888fffff,1,142
892a100888fffff,2,88
892a100888fffff,3,58
892a100888fffff,4,120
892a100888fffff,5,107
892a100888fffff,6,578
892a100888fffff,7,1086
892a100888fffff,8,1378
892a100888fffff,9,934
892a100888fffff,10,955
892a100888fffff,11,1036
892a100888fffff,12,1051
892a100888fffff,13,1187
892a100888fffff,14,1256
892a100888fffff,15,1243
892a100888fffff,16,1300
892a100888fffff,17,1541
892a100888fffff,18,1520
892a100888fffff,19,1209
892a100888fffff,20,957
892a100888fffff,21,722
892a100888fffff,22,547
892a100888fffff,23,364
892a1008893ffff,0,94
892a1008893ffff,1,42
892a1008893ffff,2,27
892a1008893ffff,3,11
892a1008893ffff,4,25
892a1008893ffff,5,30
892a1008893ffff,6,68
892a1008893ffff,7,210
892a1008893ffff,8,299
892a1008893ffff,9,202
892a1008893ffff,10,229
892a1008893ffff,11,304
892a1008893ffff,12,302
892a1008893ffff,13,355
892a1008893ffff,14,330
892a1008893ffff,15,310
892a1008893ffff,16,380
892a1008893ffff,17,421
892a1008893ffff,18,412
892a1008893ffff,19,337
892a1008893ffff,20,227
892a1008893ffff,21,203
892a1008893ffff,22,147
892a1008893ffff,23,141
892a1008897ffff,0,182
892a1008897ffff,1,114
892a1008897ffff,2,75
892a1008897ffff,3,35
892a1008897ffff,4,30
892a1008897ffff,5,59
892a1008897ffff,6,281
892a1008897ffff,7,513
892a1008897ffff,8,755
892a1008897ffff,9,483
892a1008897ffff,10,534
892a1008897ffff,11,560
892a1008897ffff,12,656
892a1008897ffff,13,620
892a1008897ffff,14,624
892a1008897ffff,15,721
892a1008897ffff,16,748
892a1008897ffff,17,855
892a1008897ffff,18,808
892a1008897ffff,19,667
892a1008897ffff,20,563
892a1008897ffff,21,399
892a1008897ffff,22,376
892a1008897ffff,23,311
892a10088a3ffff,0,184
892a10088a3ffff,1,128
892a10088a3ffff,2,71
892a10088a3ffff,3,48
892a10088a3ffff,4,61
892a10088a3ffff,5,365
892a10088a3ffff,6,794
892a10088a3ffff,7,1571
892a10088a3ffff,8,2040
892a10088a3ffff,9,1437
892a10088a3ffff,10,1258
892a10088a3ffff,11,1357
892a10088a3ffff,12,1448
892a10088a3ffff,13,1550
892a10088a3ffff,14,1645
892a10088a3ffff,15,1808
892a10088a3ffff,16,1884
892a10088a3ffff,17,1993
892a10088a3ffff,18,1916
892a10088a3ffff,19,1501
892a10088a3ffff,20,1142
892a10088a3ffff,21,648
892a10088a3ffff,22,503
892a10088a3ffff,23,313
892a10088afffff,0,255
892a10088afffff,1,142
